Gameweek,Date,HomeTeam,AwayTeam
24,2026-01-31 15:00:00,Brighton,Everton
24,2026-01-31 15:00:00,Leeds,Arsenal
24,2026-01-31 15:00:00,Wolves,Bournemouth
24,2026-01-31 17:30:00,Chelsea,West Ham
24,2026-01-31 20:00:00,Liverpool,Newcastle
24,2026-02-01 14:00:00,Aston Villa,Brentford
24,2026-02-01 14:00:00,Man Utd,Fulham
24,2026-02-01 14:00:00,Nott'm Forest,Crystal Palace
24,2026-02-01 16:30:00,Spurs,Man City
24,2026-02-02 20:00:00,Sunderland,Burnley
25,2026-02-06 20:00:00,Leeds,Nott'm Forest
25,2026-02-07 12:30:00,Man Utd,Spurs
25,2026-02-07 15:00:00,Arsenal,Sunderland
25,2026-02-07 15:00:00,Bournemouth,Aston Villa
25,2026-02-07 15:00:00,Burnley,West Ham
25,2026-02-07 15:00:00,Fulham,Everton
25,2026-02-07 15:00:00,Wolves,Chelsea
25,2026-02-07 17:30:00,Newcastle,Brentford
25,2026-02-08 14:00:00,Brighton,Crystal Palace
25,2026-02-08 16:30:00,Liverpool,Man City
26,2026-02-10 19:30:00,Chelsea,Leeds
26,2026-02-10 19:30:00,Everton,Bournemouth
26,2026-02-10 19:30:00,Spurs,Newcastle
26,2026-02-10 20:15:00,West Ham,Man Utd
26,2026-02-11 15:00:00,Sunderland,Liverpool
26,2026-02-11 19:30:00,Aston Villa,Brighton
26,2026-02-11 19:30:00,Crystal Palace,Burnley
26,2026-02-11 19:30:00,Man City,Fulham
26,2026-02-11 19:30:00,Nott'm Forest,Wolves
26,2026-02-12 20:00:00,Brentford,Arsenal
27,2026-02-21 12:30:00,Man City,Newcastle
27,2026-02-21 15:00:00,Aston Villa,Leeds
27,2026-02-21 15:00:00,Brentford,Brighton
27,2026-02-21 15:00:00,Chelsea,Burnley
27,2026-02-21 15:00:00,Nott'm Forest,Liverpool
27,2026-02-21 17:30:00,West Ham,Bournemouth
27,2026-02-22 14:00:00,Crystal Palace,Wolves
27,2026-02-22 14:00:00,Sunderland,Fulham
27,2026-02-22 16:30:00,Spurs,Arsenal
27,2026-02-23 20:00:00,Everton,Man Utd
28,2026-02-27 20:00:00,Wolves,Aston Villa
28,2026-02-28 12:30:00,Bournemouth,Sunderland
28,2026-02-28 15:00:00,Brighton,Nott'm Forest
28,2026-02-28 15:00:00,Burnley,Brentford
28,2026-02-28 15:00:00,Liverpool,West Ham
28,2026-02-28 15:00:00,Newcastle,Everton
28,2026-02-28 17:30:00,Leeds,Man City
28,2026-03-01 14:00:00,Fulham,Spurs
28,2026-03-01 14:00:00,Man Utd,Crystal Palace
28,2026-03-01 16:30:00,Arsenal,Chelsea
29,2026-03-03 19:30:00,Bournemouth,Brentford
29,2026-03-03 19:30:00,Everton,Burnley
29,2026-03-03 19:30:00,Leeds,Sunderland
29,2026-03-03 20:15:00,Wolves,Liverpool
29,2026-03-04 19:30:00,Aston Villa,Chelsea
29,2026-03-04 19:30:00,Brighton,Arsenal
29,2026-03-04 19:30:00,Fulham,West Ham
29,2026-03-04 19:30:00,Man City,Nott'm Forest
29,2026-03-04 20:15:00,Newcastle,Man Utd
29,2026-03-05 20:00:00,Spurs,Crystal Palace
30,2026-03-14 12:30:00,West Ham,Man City
30,2026-03-14 15:00:00,Burnley,Bournemouth
30,2026-03-14 15:00:00,Crystal Palace,Leeds
30,2026-03-14 15:00:00,Man Utd,Aston Villa
30,2026-03-14 15:00:00,Nott'm Forest,Fulham
30,2026-03-14 15:00:00,Sunderland,Brighton
30,2026-03-14 17:30:00,Chelsea,Newcastle
30,2026-03-15 14:00:00,Arsenal,Everton
30,2026-03-15 16:30:00,Liverpool,Spurs
30,2026-03-16 20:00:00,Brentford,Wolves
31,2026-03-20 20:00:00,Bournemouth,Man Utd
31,2026-03-21 12:30:00,Brighton,Liverpool
31,2026-03-21 15:00:00,Aston Villa,West Ham
31,2026-03-21 15:00:00,Fulham,Burnley
31,2026-03-21 15:00:00,Man City,Crystal Palace
31,2026-03-21 15:00:00,Wolves,Arsenal
31,2026-03-21 17:30:00,Everton,Chelsea
31,2026-03-21 20:00:00,Leeds,Brentford
31,2026-03-22 12:00:00,Newcastle,Sunderland
31,2026-03-22 14:15:00,Spurs,Nott'm Forest
32,2026-04-11 15:00:00,Arsenal,Bournemouth
32,2026-04-11 15:00:00,Brentford,Everton
32,2026-04-11 15:00:00,Burnley,Brighton
32,2026-04-11 15:00:00,Chelsea,Man City
32,2026-04-11 15:00:00,Crystal Palace,Newcastle
32,2026-04-11 15:00:00,Liverpool,Fulham
32,2026-04-11 15:00:00,Man Utd,Leeds
32,2026-04-11 15:00:00,Nott'm Forest,Aston Villa
32,2026-04-11 15:00:00,Sunderland,Spurs
32,2026-04-11 15:00:00,West Ham,Wolves
33,2026-04-18 15:00:00,Aston Villa,Sunderland
33,2026-04-18 15:00:00,Brentford,Fulham
33,2026-04-18 15:00:00,Chelsea,Man Utd
33,2026-04-18 15:00:00,Crystal Palace,West Ham
33,2026-04-18 15:00:00,Everton,Liverpool
33,2026-04-18 15:00:00,Leeds,Wolves
33,2026-04-18 15:00:00,Man City,Arsenal
33,2026-04-18 15:00:00,Newcastle,Bournemouth
33,2026-04-18 15:00:00,Nott'm Forest,Burnley
33,2026-04-18 15:00:00,Spurs,Brighton
34,2026-04-25 15:00:00,Arsenal,Newcastle
34,2026-04-25 15:00:00,Bournemouth,Leeds
34,2026-04-25 15:00:00,Brighton,Chelsea
34,2026-04-25 15:00:00,Burnley,Man City
34,2026-04-25 15:00:00,Fulham,Aston Villa
34,2026-04-25 15:00:00,Liverpool,Crystal Palace
34,2026-04-25 15:00:00,Man Utd,Brentford
34,2026-04-25 15:00:00,Sunderland,Nott'm Forest
34,2026-04-25 15:00:00,West Ham,Everton
34,2026-04-25 15:00:00,Wolves,Spurs
35,2026-05-02 15:00:00,Arsenal,Fulham
35,2026-05-02 15:00:00,Aston Villa,Spurs
35,2026-05-02 15:00:00,Bournemouth,Crystal Palace
35,2026-05-02 15:00:00,Brentford,West Ham
35,2026-05-02 15:00:00,Chelsea,Nott'm Forest
35,2026-05-02 15:00:00,Everton,Man City
35,2026-05-02 15:00:00,Leeds,Burnley
35,2026-05-02 15:00:00,Man Utd,Liverpool
35,2026-05-02 15:00:00,Newcastle,Brighton
35,2026-05-02 15:00:00,Wolves,Sunderland
36,2026-05-09 15:00:00,Brighton,Wolves
